Alter;Groesse;Geschlecht;AlterV;AlterM;AnzSchuhe;NoteMathe;MatheZufr
 34;165;Frau; 62; 59;20;5,0;unzufrieden
 21;170;mann; 62; 41;6;5,0;unzufrieden
 21;180;mann; 48; 51;5;2,7;geht so
 22;170;Frau; 54; 51;50;1,7;sehr zufrieden
 23;159;Frau; 52; 50;21;5,0;unzufrieden
 26;194;Mann; 54; 68;20;NA;NA
 21;172;Frau; 59; 53;18;1,3;sehr zufrieden
 21;174;Frau; 51; 48;30;5,0;unzufrieden
 22;164;Frau; 50; 48;45;2,3;zufrieden
 31;173;Frau; 63; 61;35;4,0;unzufrieden
 19;165;Frau; 51; 50;40;3,7;zufrieden
 20;193;Mann; 56; 49;5;NA;NA
 19;169;Frau; 55; 55;50;2,3;zufrieden
 22;171;frau; 51; 47;10;2,3;zufrieden
 21;176;w; 48; 49;100;NA;NA
 20;179;m; 52; 51;5;5,0;unzufrieden
 23;178;Frau; 56; 51;60;NA;NA
 19;160;Frau; 42; 41;70;4,0;unzufrieden
 19;178;Frau; 54; 46;25;NA;NA
 23;181;Mann; 65; 52;5;3,7;geht so
 29;165;Frau; 68; 68;250;NA;NA
 20;172;w; 58; 53;20;3,3;zufrieden
 19;172;w; 49; 48;11;NA;NA
 20;190;mann; 55; 51;5;1,7;sehr zufrieden
 20;173;Frau; 56; 55;8;1,3;sehr zufrieden
 21;170;Frau; 72; 62;14;NA;NA
 32;184;Mann; 59; 56;12;NA;unzufrieden
 21;174;m; 55; 53;15;2,7;zufrieden
 19;174;frau; 55; 51;10;NA;NA
 20;192;Mann; 55; 55;8;1,7;zufrieden
 21;180;Mann; 52; 44;4;5,0;NA
 19;170;Frau; 58; 54;20;1,7;sehr zufrieden
 26;176;Mann; 56; 55;7;NA;NA
 21;181;mann; 49; 47;6;NA;NA
 19;160;Frau; 40; 37;10;2,0;zufrieden
 25;180;Mann; 87; 57;15;3,7;zufrieden
 21;164;Frau; 49; 47;40;3,7;unzufrieden
 20;166;Frau; 65; 54;40;NA;NA
 23;176;Mann; 61; 58;2;NA;NA
 22;160;Frau; 59; 55;20;3,7;unzufrieden
 22;173;Frau; 52; 46;20;3,7;geht so
 24;172;Frau; 53; 53;40;5,0;unzufrieden
 19;165;Frau; 48; 49;60;3,3;geht so
 26;170;w; 43; 45;80;5,0;unzufrieden
 23;178;Mann; 60; 58;4;2,3;zufrieden
 21;167;Frau; 53; 47;35;3,3;zufrieden
 24;168;Frau; 44; 43;17;NA;NA
 37;170;Mann; 69; 64;9;3,0;geht so
 20;185;Mann; 60; 48;12;2,7;zufrieden
 21;163;Frau; 50; 45;15;1,0;sehr zufrieden
 27;160;Frau; 64; 59;5;3,7;zufrieden
 20;177;Mann; 51; 50;2;NA;NA
 21;189;Mann; 53; 49;7;2,3;zufrieden
 18;175;Mann; 52; 52;9;2,7;zufrieden
 19;161;w; 52; 50;20;NA;NA
 27;188;Mann; 45; 42;16;5,0;zufrieden
 23;156;frau; 57; 56;23;4,0;geht so
 19;177;Mann; 52; 49;14;3,0;sehr zufrieden
